count,From_ID,To_ID
1,6918,2124
1,2822,2124
1,2124,2124
1,2124,2124
1,7084,2124
1,7019,2124
1,2124,2124
1,8024,2124
1,7084,2124
1,2819,2124
1,6919,2124
1,2814,2124
1,9260,2124
1,6920,2124
1,1275,2124
1,3015,2124
1,6970,2124
1,7084,2124
1,1320,2124
1,6970,2124
1,8023,2124
1,7084,2124
1,8023,2124
1,2124,2124
1,6920,2124
1,2124,2124
1,741,2124
1,3016,2124
1,2124,2124
1,2124,2124
1,2124,2124
1,2124,2124
1,2124,2124
1,2124,2124
1,2124,2124
1,2124,2124
1,6920,2124
1,8023,2124
1,9260,2124
1,7084,2124
1,8079,2124
1,9260,2124
1,8023,2124
1,8213,2124
1,7084,2124
1,2124,2124
1,8023,2124
1,6894,2124
1,2124,2124
1,8025,2124
1,8213,2124
1,7084,2124
1,7084,2124
1,2124,2124
1,2822,2124
1,2124,2124
1,7019,2124
1,2814,2124
1,650,2124
1,8023,2124
1,2124,2124
1,8213,2124
1,7084,2124
1,8024,2124
1,6918,2124
1,2124,2124
1,8213,2124
1,2124,2124
1,7084,2124
1,9260,2124
1,6970,2124
1,2124,2124
1,8023,2124
1,8023,2124
1,7084,2124
1,1275,2124
1,2820,2124
1,2124,2124
1,2124,2124
1,7084,2124
1,6970,2124
1,1320,2124
1,1320,2124
1,8213,2124
1,7084,2124
1,2183,2124
1,2124,2124
1,8025,2124
1,7084,2124
1,8024,2124
1,6970,2124
1,7019,2124
1,8023,2124
1,1275,2124
1,1275,2124
1,1320,2124
1,7084,2124
1,1320,2124
1,9260,2124
1,7084,2124
1,6893,2124
1,1275,2124
1,2814,2124
1,8025,2124
1,2124,2124
1,2124,2124
1,8079,2124
1,7084,2124
1,2124,2124
1,3016,2124
1,741,2124
1,7084,2124
1,9260,2124
1,2124,2124
1,9260,2124
1,2124,2124
1,8023,2124
1,6920,2124
1,7084,2124
1,2814,2124
1,7084,2124
1,2819,2124
1,1275,2124
1,6920,2124
1,1275,2124
1,7084,2124
1,7084,2124
1,8213,2124
1,8023,2124
1,6970,2124
1,2124,2124
1,7084,2124
1,7084,2124
1,7084,2124
1,2124,2124
1,6970,2124
1,2124,2124
1,2822,2124
1,2822,2124
1,2124,2124
1,2124,2124
1,8024,2124
1,7084,2124
1,741,2124
1,2822,2124
1,2270,2124
1,2124,2124
1,6918,2124
1,7019,2124
1,8213,2124
1,2124,2124
1,2124,2124
1,8023,2124
1,6894,2124
1,2814,2124
1,2124,2124
1,2124,2124
1,9260,2124
1,6918,2124
1,2814,2124
1,6970,2124
1,2814,2124
1,6918,2124
1,9260,2124
1,8023,2124
1,7084,2124
1,1319,2124
1,2124,2124
1,2814,2124
1,2124,2124
1,7019,2124
1,2124,2124
1,2124,2124
1,2814,2124
1,2124,2124
1,2822,2124
1,7084,2124
1,9260,2124
1,2941,2124
1,7084,2124
1,7084,2124
1,7084,2124
1,7084,2124
1,1275,2124
1,8079,2124
1,7084,2124
1,2124,2124
1,2124,2124
1,8079,2124
1,7019,2124
1,6970,2124
1,7084,2124
1,2124,2124
1,7084,2124
1,2124,2124
1,6970,2124
1,6895,2124
1,7084,2124
1,2822,2124
1,8025,2124
1,2814,2124
1,8025,2124
1,2124,2124
1,7084,2124
1,7084,2124
1,6340,2124
1,2124,2124
1,6970,2124
1,6918,2124
1,7019,2124
1,7084,2124
1,7084,2124
1,7019,2124
1,6970,2124
1,6970,2124
1,9260,2124
1,8213,2124
1,7084,2124
1,7019,2124
1,8025,2124
1,2124,2124
1,2124,2124
1,7084,2124
1,2814,9260
1,2814,9260
1,8213,9260
1,7019,9260
1,8024,9260
1,8023,9260
1,8024,9260
1,9260,9260
1,7019,9260
1,2814,9260
1,2124,9260
1,2814,9260
1,6894,9260
1,7084,9260
1,8213,9260
1,2250,9260
1,6893,9260
1,8213,9260
1,8213,9260
1,9260,9260
1,6970,9260
1,7084,9260
1,1275,9260
1,6893,9260
1,8213,9260
1,8024,9260
1,7084,9260
1,6948,9260
1,7019,9260
1,7084,9260
1,7019,9260
1,2822,9260
1,742,9260
1,7084,9260
1,742,9260
1,8213,9260
1,2814,9260
1,6894,9260
1,6970,9260
1,8023,9260
1,6893,9260
1,7019,9260
1,8213,9260
1,8213,9260
1,6893,9260
1,2814,9260
1,2124,9260
1,6970,9260
1,6893,9260
1,6919,9260
1,9260,9260
1,2814,9260
1,8213,9260
1,742,9260
1,8213,9260
1,9260,9260
1,7084,9260
1,7019,9260
1,742,9260
1,8213,9260
1,8023,9260
1,6970,9260
1,8213,9260
1,8023,9260
1,742,9260
1,6970,9260
1,8213,9260
1,8213,9260
1,8023,9260
1,8213,9260
1,3016,9260
1,8023,9260
1,8213,9260
1,2814,9260
1,2814,9260
1,7019,9260
1,6970,9260
1,8213,9260
1,2814,9260
1,8024,9260
1,8213,9260
1,6894,9260
1,7084,9260
1,7019,9260
1,8213,9260
1,8023,9260
1,6894,9260
1,2124,9260
1,7084,9260
1,3016,9260
1,6894,9260
1,742,9260
1,2814,9260
1,2822,9260
1,6893,9260
1,8213,9260
1,8024,9260
1,8024,9260
1,2822,9260
1,8213,9260
1,1275,9260
1,8213,9260
1,9260,9260
1,742,9260
1,7084,9260
1,2250,9260
1,6893,9260
1,9260,9260
1,742,9260
1,8024,9260
1,6893,9260
1,6970,9260
1,9260,9260
1,8213,9260
1,8213,9260
1,8213,9260
1,6895,9260
1,6970,9260
1,7019,9260
1,7084,9260
1,8023,9260
1,6970,9260
1,6894,9260
1,6894,9260
1,6970,9260
1,9260,9260
1,6970,9260
1,6895,6970
1,9260,6970
1,6970,6970
1,9263,6970
1,6918,6970
1,6970,6970
1,8213,6970
1,9260,6970
1,7019,6970
1,6895,6970
1,8023,6970
1,9260,6970
1,8213,6970
1,8213,6970
1,7019,6970
1,6893,6970
1,8213,6970
1,7084,6970
1,6893,6970
1,6893,6970
1,6970,6970
1,6970,6970
1,8023,6970
1,2124,6970
1,2124,6970
1,9260,6970
1,8023,6970
1,6970,6970
1,2124,6970
1,7019,6970
1,3016,6970
1,6893,6970
1,7019,6970
1,9260,6970
1,742,6970
1,8024,6970
1,6970,6970
1,6895,6970
1,6893,6970
1,6970,6970
1,6970,6970
1,6893,6970
1,8213,6970
1,6893,6970
1,6970,6970
1,6894,6970
1,2124,6970
1,8024,6970
1,2814,6970
1,8023,6970
1,8023,6970
1,6970,6970
1,7084,6970
1,9260,6970
1,2124,6970
1,9260,6970
1,7019,6970
1,6970,6970
1,6970,6970
1,8213,6970
1,7019,6970
1,7019,6970
1,8024,6970
1,6970,6970
1,8023,6970
1,8023,6970
1,7019,6970
1,6970,6970
1,6970,6970
1,6948,6970
1,741,6970
1,7019,6970
1,1275,6970
1,2822,6970
1,7019,6970
1,2822,6970
1,6893,6970
1,1319,6970
1,6970,6970
1,6970,6970
1,1320,6970
1,8023,6970
1,8024,6970
1,6895,6970
1,6970,6970
1,7019,6970
1,6893,6970
1,6970,6970
1,8024,6970
1,6893,6970
1,8023,6970
1,6970,6970
1,9260,6970
1,7084,6970
1,6918,6970
1,6970,6970
1,8023,6970
1,2124,6970
1,2862,6970
1,6970,6970
1,6970,6970
1,2822,6970
1,8213,6970
1,2186,6970
1,6970,6970
1,6970,6970
1,7019,6970
1,6970,6970
1,6340,6970
1,2124,6970
1,6970,6970
1,2183,6970
1,8024,6970
1,7019,6970
1,6893,6970
1,3016,6970
1,7019,6970
1,7019,6970
1,8023,6970
1,6893,6970
1,1320,6970
1,8023,6970
1,9260,6970
1,2862,6970
1,2822,6970
1,2822,6970
1,2822,6970
1,6970,6970
1,7019,6970
1,1320,6970
1,6893,6970
1,6895,6970
1,8023,6970
1,6970,6970
1,8023,6970
1,8120,6970
1,8213,6970
1,8213,6970
1,8023,6970
1,8024,6970
1,6970,6970
1,6340,6970
1,2814,6970
1,8024,6970
1,1275,6970
1,7084,6970
1,2124,6970
1,6970,6970
1,7084,6970
1,2814,6970
1,6970,6970
1,2822,6970
1,6895,6970
1,1320,6970
1,7084,6970
1,8024,6970
1,8023,6970
1,6970,6970
1,6893,6970
1,8213,6970
1,1275,6970
1,6970,6970
1,6970,6970
1,2814,6970
1,7084,6970
1,6970,6970
1,6893,6970
1,6970,6970
1,8024,6970
1,6970,6970
1,8023,6970
1,6970,6970
1,8024,6970
1,6895,6970
1,6970,6970
1,6893,6970
1,8213,6970
1,7084,6970
1,6893,6970
1,741,6970
1,2822,6970
1,6970,6970
1,2822,6970
1,9260,6970
1,6970,6970
1,8024,6970
1,2814,6970
1,2814,7019
1,7019,7019
1,8024,7019
1,6895,7019
1,6895,7019
1,1275,7019
1,2279,7019
1,8023,7019
1,7019,7019
1,6893,7019
1,6895,7019
1,8023,7019
1,7084,7019
1,9260,7019
1,7019,7019
1,2814,7019
1,8024,7019
1,6893,7019
1,7019,7019
1,1275,7019
1,2822,7019
1,7019,7019
1,8213,7019
1,2183,7019
1,7019,7019
1,7019,7019
1,8023,7019
1,6895,7019
1,1275,7019
1,6895,7019
1,8024,7019
1,7019,7019
1,6970,7019
1,8024,7019
1,8213,7019
1,7019,7019
1,8023,7019
1,6970,7019
1,7084,7019
1,8024,7019
1,8024,7019
1,2822,7019
1,8024,7019
1,8024,7019
1,8024,7019
1,8023,7019
1,7084,7019
1,2183,7019
1,742,7019
1,2822,7019
1,6893,7019
1,6893,7019
1,1275,7019
1,7019,7019
1,2195,7019
1,7019,7019
1,7019,7019
1,8024,7019
1,6895,7019
1,6893,7019
1,2822,7019
1,6970,7019
1,8024,7019
1,7019,7019
1,8024,7019
1,7019,7019
1,7084,7019
1,8023,7019
1,8025,7019
1,2183,7019
1,6893,7019
1,6970,7019
1,6893,7019
1,8025,7019
1,7019,7019
1,6893,7019
1,6895,7019
1,8213,7019
1,741,7019
1,6970,7019
1,2183,7019
1,8213,7019
1,7084,7019
1,7019,7019
1,2822,7019
1,8024,7019
1,6920,7019
1,7019,7019
1,7019,7019
1,8024,7019
1,6895,7019
1,6895,7019
1,8023,7019
1,9260,7019
1,8024,7019
1,2822,7019
1,741,7019
1,8024,7019
1,8024,7019
1,8024,7019
1,1275,7019
1,6893,7019
1,8024,7019
1,8213,7019
1,7084,7019
1,8024,7019
1,8023,7019
1,6893,7019
1,8023,7019
1,6895,7019
1,2822,7019
1,1275,7019
1,6970,7019
1,6893,7019
1,8024,7019
1,7019,7019
1,6895,7019
1,1275,7019
1,8213,7019
1,6893,7019
1,2822,7019
1,6895,7019
1,6970,7019
1,8024,7019
1,6893,7019
1,6970,7019
1,7019,7019
1,8024,7019
1,6895,7019
1,6895,7019
1,6893,7019
1,7084,7019
1,8213,7019
1,8024,7019
1,6920,7019
1,6919,7019
1,6893,7019
1,8120,7019
1,1320,7019
1,2124,7019
1,8213,7019
1,6893,7019
1,8024,7019
1,6970,7019
1,2814,7019
1,6918,7019
1,8024,7019
1,8023,7019
1,742,7019
1,6918,7019
1,8025,7019
1,2183,7019
1,6920,7019
1,7019,7019
1,8213,7019
1,1320,7019
1,7084,7019
1,8024,7019
1,7019,7019
1,2862,7019
1,7019,7019
1,6893,7019
1,7019,7019
1,8213,7019
1,2822,7019
1,8024,7019
1,6895,7019
1,2822,7019
1,8023,7019
1,2872,7019
1,8024,7019
1,7019,7019
1,6895,7019
1,6893,7019
1,8024,7019
1,8024,7019
1,8023,7019
1,8024,7019
1,6895,7019
1,7084,7019
1,7019,7019
1,7084,7019
1,6893,7019
1,6893,7019
1,7019,7019
1,8213,7019
1,6895,7019
1,8024,7019
1,2822,7019
1,8023,7019
1,7019,7019
1,8024,7019
1,6970,7019
1,8023,7019
1,6893,7019
1,6893,7019
1,1275,7019
1,7019,7019
1,6920,7019
1,741,7019
1,2250,7019
1,8024,7019
1,8023,7019
1,2195,7019
1,2183,7019
1,6918,7019
1,8024,7019
1,7019,7019
1,8213,7019
1,7019,7019
1,8023,7019
1,2822,7019
1,8024,7019
1,7019,7019
1,8024,7019
1,7084,7019
1,2822,7019
1,2819,7019
1,2183,7019
1,6919,7019
1,2872,7019
1,8024,7019
1,2183,7019
1,8024,7019
1,7019,7019
1,6893,7019
1,8213,7019
1,2183,7019
1,6893,7019
1,8024,7019
1,1275,7019
1,8024,7019
1,8024,7019
1,7019,7019
1,8023,7019
1,8023,7019
1,8213,7019
1,6920,7019
1,6895,7019
1,8024,7019
1,2822,7019
1,1275,7019
1,7019,7019
1,2862,7019
1,2822,7019
1,2250,7019
1,7019,7019
1,8213,7019
1,6893,7019
1,8024,7019
1,8024,7019
1,6893,7019
1,6895,7019
1,8024,7019
1,6919,7019
1,6918,7019
1,6918,7019
1,8024,7019
1,2814,7019
1,6893,7019
1,8023,7019
1,2822,7019
1,7084,7019
1,6893,7019
1,6893,7019
1,7019,7019
1,6893,7019
1,7019,7019
1,6895,7019
1,2819,7019
1,8213,7019
1,8023,7019
1,7019,7019
1,7019,7019
1,7019,7019
1,8213,7019
1,6895,7019
1,6918,7019
1,7019,7019
1,7019,7019
1,7084,7019
1,2195,7019
1,6894,7019
1,7019,7019
1,7019,7019
1,1320,7019
1,2280,7019
1,6895,7019
1,7019,7019
1,6893,7019
1,7019,7019
1,8024,7019
1,7084,7084
1,2124,7084
1,7084,7084
1,2820,7084
1,2820,7084
1,8025,7084
1,7084,7084
1,741,7084
1,6895,7084
1,8023,7084
1,6340,7084
1,7019,7084
1,1275,7084
1,2124,7084
1,8213,7084
1,8024,7084
1,6970,7084
1,2822,7084
1,2822,7084
1,7084,7084
1,2862,7084
1,1275,7084
1,6918,7084
1,2183,7084
1,2124,7084
1,1275,7084
1,7084,7084
1,6895,7084
1,2124,7084
1,8023,7084
1,7084,7084
1,7084,7084
