id,x,y
1,-81.24209457,41.73708109
2,-81.82362271,41.48085643
3,-81.62494243,41.49507602
4,-81.8558245,41.45496235
5,-81.87054995,41.44138142
6,-81.82389194,41.3077586
7,-81.61237299,41.5089705
8,-81.60604252,41.51400334
9,-81.60757424,41.49504891
10,-81.80466161,41.3768641
11,-81.74655143,41.31560754
12,-81.61829863,41.49328772
13,-81.57470903,41.53501977
14,-81.58476293,41.52533941
15,-81.74687195,41.32868237
16,-81.55859192,41.53211446
17,-81.50536516,41.46626344
18,-81.49842527,41.46137961
19,-81.58213334,41.54275456
20,-81.5968978,41.33462288
21,-81.6318544,41.31374207
22,-81.56413763,41.36808472
23,-81.602945,41.52135304
24,-81.59940441,41.52307606
25,-81.60026838,41.50438468
26,-81.56879136,41.4480494
27,-81.49834212,41.42897079
28,-81.44224827,41.52718517
29,-81.44818491,41.52361206
30,-81.59438116,41.5057759
31,-81.43543556,41.5291028
32,-81.49174096,41.38735658
33,-81.49536802,41.36894714
34,-81.79220841,41.34619007
35,-84.13597975,38.97246161
36,-84.30539089,39.09242073
37,-84.27480709,39.23198446
38,-84.07762027,39.02555386
39,-81.86451499,39.67806556
40,-82.01462545,39.51696369
41,-84.29232549,39.09279184
42,-84.11403137,38.9301769
43,-81.46977491,41.45443508
44,-81.51725014,41.45021281
45,-81.49197698,41.43624114
46,-81.81125528,41.38384297
47,-81.91110112,41.35411117
48,-81.61169665,41.49025531
49,-81.60678576,41.49015728
50,-81.77984799,41.36736616
51,-81.77891555,41.3573843
52,-81.58010429,41.42886656
53,-81.65563941,41.30182785
54,-81.58304925,41.56496733
55,-81.5936961,41.48163836
56,-81.57040796,41.39881472
57,-81.47165596,41.43012159
58,-81.51635759,41.41871709
59,-81.56043422,41.48719886
60,-81.91886434,41.35562947
61,-81.50290858,41.40449914
62,-81.52899339,41.43283118
63,-81.52381328,41.46821808
64,-81.52372576,41.43896746
65,-81.39652925,41.44222756
66,-81.954065,41.47158551
67,-81.78033912,41.32551637
68,-81.76764772,41.3433088
69,-81.76558685,41.32100138
70,-81.60212478,41.52787387
71,-81.52222928,41.48310754
72,-81.60553977,41.45926581
73,-81.72535446,41.37275012
74,-81.58073363,41.56229874
75,-81.57828937,41.54922975
76,-81.85065315,41.45978622
77,-81.67687646,41.50453627
78,-81.74433285,41.31950429
79,-81.73075575,41.46467326
80,-81.68037087,41.47857065
81,-82.72000248,40.5322331
82,-82.8197218,40.51962756
83,-82.77576358,40.49017593
84,-81.74735745,41.34139376
85,-81.93250401,41.3755368
86,-81.96057882,41.3606962
87,-81.9429344,41.35970888
88,-81.56083725,41.39855262
89,-82.84880663,40.55755192
90,-81.85270562,41.28312706
91,-81.80770078,41.41184658
92,-84.35873601,39.20120002
93,-81.95722734,41.37739369
94,-81.89283021,41.45992127
95,-81.54008671,41.5060094
96,-81.5235506,41.57067883
97,-81.51943825,41.54959942
98,-81.59645537,41.54652464
99,-81.52300268,41.51507739
100,-81.92818352,41.35738889
101,-81.91618845,41.36561865
102,-81.82421024,41.32699384
103,-81.90931701,41.41664107
104,-81.52091156,41.47576026
105,-81.80858133,41.35534214
106,-81.79275437,41.35411159
107,-81.82432168,41.34081972
108,-81.81950253,41.33824152
109,-84.38534136,40.0292874
110,-82.89482777,40.55688695
111,-82.89295898,40.60585861
112,-82.80018767,40.57034658
113,-83.64766684,41.07316067
114,-82.30801058,41.02974275
115,-84.21063709,39.37296663
116,-84.74367101,39.16686537
117,-84.73321596,39.15110947
118,-84.12317749,39.94519393
119,-82.33425704,40.8803975
120,-82.34333836,40.87255183
121,-82.32161314,40.87332955
122,-84.2306177,40.14227304
123,-84.24810972,40.15276799
124,-81.54623747,41.60189354
125,-81.8154479,41.48840997
126,-81.38383098,41.42865892
127,-81.62143036,41.52485971
128,-81.63625282,41.46552276
129,-81.69528982,41.2879384
130,-81.77631416,41.49529139
131,-81.77599803,41.48545015
132,-81.77845589,41.4787062
133,-81.77512205,41.49212431
134,-81.77191459,41.48186183
135,-81.76647409,41.4818009
136,-81.71252558,41.43809999
137,-81.65303444,41.45986244
138,-81.75585613,41.37708821
139,-84.25187458,39.38543651
140,-84.3407822,40.10974482
141,-84.38748505,40.07288519
142,-84.32053872,40.05288231
143,-84.40822242,39.97835284
144,-84.37176445,39.97541217
145,-82.66283851,40.47221107
146,-82.81365309,40.38869265
147,-82.70941489,40.485186
148,-82.69267256,40.38349042
149,-82.88208004,40.39204786
150,-82.74926755,40.43952819
151,-82.76570314,40.38678037
152,-82.86289137,38.76733585
153,-83.0670197,38.90302659
154,-84.33306849,39.99792498
155,-84.34131254,39.97134701
156,-84.20421222,40.03088284
157,-81.51994615,41.57936908
158,-81.69632167,41.41559699
159,-81.74041395,41.49152769
160,-80.74772253,40.0831475
161,-80.85669755,40.14155546
162,-80.76556722,40.09486288
163,-80.80810858,40.07069918
164,-81.03362827,40.14225016
165,-80.92494944,40.07449876
166,-81.1630741,39.91222528
167,-80.80319863,39.9535188
168,-81.07936051,40.02262541
169,-84.0883602,40.05018115
170,-84.09895057,39.99295143
171,-83.62933124,40.15664887
172,-83.9958193,40.10803234
173,-83.71538637,40.06322605
174,-81.61136199,41.54394616
175,-81.69928509,41.4086354
176,-81.71693983,41.37927727
177,-81.57264566,41.57148895
178,-81.63940493,41.50210949
179,-81.64229186,41.51060346
180,-81.63691352,41.51166358
181,-81.64280621,41.45874066
182,-81.5638936,41.56952511
183,-81.65559386,41.48554767
184,-84.29495482,39.96775837
185,-84.19062594,39.95831863
186,-84.17025759,39.97181332
187,-84.17950789,39.9636319
188,-84.17982481,39.95734966
189,-84.07101256,39.9359688
190,-81.0049196,39.89931676
191,-80.73687799,40.0318685
192,-84.12985972,39.90439525
193,-84.09014,39.89237405
194,-84.07265791,40.14183464
195,-84.12405218,40.12020654
196,-84.2677101,40.02657632
197,-84.21364288,40.0349388
198,-84.21495942,40.04115147
199,-84.20711825,40.03998282
200,-84.23439223,40.01726074
201,-84.2098069,40.02237237
202,-84.23559636,40.00378206
203,-83.7252361,40.11444452
204,-83.98626304,40.16420605
205,-84.2776518,39.28090936
206,-84.27383912,39.26871415
207,-81.63115508,41.52162852
208,-81.64497748,41.49256511
209,-81.63907132,41.48062506
210,-81.6011956,41.43706295
211,-83.93149205,40.16232948
212,-82.50642057,40.51104864
213,-82.53466779,40.46837951
214,-83.6276153,40.20461043
215,-83.75912719,40.06207205
216,-83.78938338,40.14020593
217,-83.96382461,40.23219477
218,-83.86520499,40.09514311
219,-81.49805906,41.40934571
220,-81.50856501,41.43777678
221,-81.59427665,41.53279445
222,-81.47630545,41.44306212
223,-81.82855492,41.29631459
224,-81.44665049,41.43836486
225,-81.50106408,41.39805526
226,-81.43067737,41.37615762
227,-81.49189314,41.62125151
228,-81.54297772,41.45370333
229,-81.54953307,41.56162404
230,-81.51894471,41.43885738
231,-81.82082021,41.34609779
232,-81.49532725,41.6277174
233,-81.53168604,41.49977052
234,-81.89788392,41.41641914
235,-81.62142281,41.50181327
236,-81.61935142,41.43914404
237,-81.52640755,41.61447227
238,-81.86902454,41.4536693
239,-81.84490507,41.45785541
240,-81.84314662,41.45151402
241,-81.80110605,41.32139062
242,-81.82162713,41.4610993
243,-81.77678755,41.40003825
244,-81.79295097,41.36942262
245,-81.61287327,41.48580046
246,-81.60732911,41.48445694
247,-81.57028999,41.54283613
248,-81.58825407,41.4373131
249,-81.69712699,41.36534904
250,-81.74763121,41.34873599
251,-81.57928776,41.53305514
252,-81.56988037,41.52969899
253,-81.54501125,41.43390172
254,-81.53176125,41.38074554
255,-81.50144731,41.37894446
256,-81.44836096,41.36866537
257,-82.77376743,39.92076014
258,-82.77196583,39.91334222
259,-84.54648951,39.34984553
260,-84.67345745,39.42629662
261,-84.64393846,39.54316357
262,-84.59383625,39.43234954
263,-84.45538909,39.56665785
264,-84.52703781,39.32424395
265,-84.53528543,39.31647833
266,-84.35642196,39.32265738
267,-84.50553538,39.1929035
268,-84.4923373,39.12920739
269,-84.41596374,39.14927251
270,-84.17825561,40.33253064
271,-81.48617511,41.06303416
272,-81.54292301,41.06881915
273,-82.0590145,39.86329178
274,-81.96218636,39.93999905
275,-81.90671274,39.9534495
276,-82.01151111,39.87108845
277,-82.06774482,39.88468396
278,-82.15382157,39.93402875
279,-81.92739248,39.91688138
280,-82.02255052,39.97371165
281,-82.0290023,40.13709954
282,-82.12515914,40.00317942
283,-82.0060146,39.9694351
284,-82.03332657,39.90190381
285,-82.0987913,39.83462969
286,-82.03956898,39.96793703
287,-81.98237632,39.8989
288,-81.94987736,39.84703126
289,-82.02952344,39.80412992
290,-81.97801503,39.96093465
291,-81.75948445,40.00151441
292,-82.0487531,39.94130843
293,-82.01968994,39.9309556
294,-81.91530311,40.10229666
295,-82.01597732,40.06486426
296,-82.12424408,39.88921319
297,-82.02818918,39.91261201
298,-82.05796703,39.91537434
299,-84.55128456,39.36141438
300,-84.55128567,39.35898017
301,-84.54619483,39.35613278
302,-84.4841907,39.19908448
303,-84.55462682,39.12727389
304,-82.09828412,41.36135145
305,-82.09907955,41.33349673
306,-83.77234188,39.92906538
307,-83.83466615,39.94266199
308,-83.75906892,39.98594077
309,-83.92534244,39.68384703
310,-80.64119115,40.29664514
311,-84.08623538,40.78144212
312,-84.183008,39.29150871
313,-84.61361559,39.42380752
314,-84.50443454,39.52155231
315,-84.41250743,39.50446446
316,-84.38702869,39.35056348
317,-84.5388698,39.37516407
318,-84.61171796,39.40943328
319,-84.58142814,39.34791927
320,-84.54339415,39.37916421
321,-81.37936895,41.41045948
322,-84.55555606,39.34484003
323,-84.53060682,39.35146048
324,-84.4270012,39.48607609
325,-84.4040894,39.49532541
326,-81.54905819,41.06132628
327,-81.48138516,41.09819651
328,-81.58168148,41.07183928
329,-81.56649256,41.01643121
330,-81.93981598,39.94407952
331,-81.98977168,39.92311546
332,-81.88948958,40.01290472
333,-82.16352136,39.98559055
334,-80.53439122,40.8370842
335,-84.66800087,39.27975974
336,-80.86952475,40.91745431
337,-84.50235633,39.16732088
338,-84.77345289,39.25745323
339,-84.78088329,39.28729034
340,-84.80464263,39.28296152
341,-84.63449534,39.4391847
342,-84.64176674,39.46407851
343,-84.02905419,39.78721002
344,-82.08953989,39.33556483
345,-84.79046205,39.44361711
346,-84.47064399,39.49198096
347,-84.39551613,39.57638447
348,-84.37635713,39.49004849
349,-84.55364582,39.36357171
350,-82.39025754,40.07164553
351,-84.45711965,39.2221256
352,-81.55348056,41.08831882
353,-81.54411489,41.07384143
354,-81.53770858,41.08847604
355,-81.59946036,41.12006225
356,-81.50478816,41.14096593
357,-84.50883052,39.13022158
358,-84.42557763,39.14679912
359,-84.44030481,39.16423804
360,-84.46006756,39.18357917
361,-84.54054921,39.19006078
362,-84.57648246,39.13339075
363,-83.77362267,39.98288715
364,-84.04428534,39.89002427
365,-84.0376419,39.88233182
366,-84.03404586,39.88569672
367,-82.14970603,41.33342588
368,-82.0767909,41.31896746
369,-82.09205257,41.30466206
370,-82.12714467,41.2898584
371,-84.5858476,39.12584825
372,-84.53929468,39.21899356
373,-84.68605837,39.2406108
374,-84.51180978,39.11126563
375,-84.50710936,39.1157725
376,-84.56554558,39.3209726
377,-84.00729661,39.81449403
378,-84.57758525,39.33203429
379,-84.38138864,39.43751847
380,-84.0743689,39.70436472
381,-80.6240647,40.37877184
382,-80.63036694,40.37092764
383,-80.63399349,40.41147576
384,-80.91276358,40.46514608
385,-80.84635371,40.21684958
386,-80.71047019,40.49326135
387,-80.66644587,40.27001578
388,-80.87457997,40.53512216
389,-80.63647917,40.5000312
390,-80.81516335,40.41292173
391,-80.78204111,40.26169833
392,-84.5537894,39.35523689
393,-84.56162888,39.35776847
